DBN,Name,frl_percent,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total_enrollment
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,88.6,22.3,24.9,14,29.1,53.8,1.7,61.4,38.6,422
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,71.8,21.1,21.8,29.2,22.6,45.9,2.3,57.4,42.6,394
01M450,EAST SIDE COMMUNITY HIGH SCHOOL,71.8,5,26.4,9.7,23.9,55.4,10.4,54.7,45.3,598
01M458,SATELLITE ACADEMY HS @ FORSYTHE STREET,72.8,4,8.9,2.2,34.4,59.4,3.6,43.3,56.7,224
01M509,MARTA VALLE SECONDARY SCHOOL,80.7,11.2,25.9,9.3,31.6,56.9,1.6,46.3,53.7,367
01M539,NEW EXPLORATIONS INTO SCIENCE TECH AND MATH,23,0.2,2.7,27.8,11.7,14.2,44.9,49.2,50.8,1613
01M650,CASCADES HIGH SCHOOL,69.8,3.2,6.9,0.5,45.4,49.5,4.1,39.9,60.1,218
01M696,BARD HIGH SCHOOL EARLY COLLEGE,18,0.2,0.8,15.1,15.1,18.2,49.8,31.3,68.7,617
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL L,66.9,8,32.2,1.7,32.2,59.2,6.3,42.5,57.5,174
02M288,FOOD AND FINANCE HIGH SCHOOL,68.4,2.1,18.5,3,44.1,47.6,4.8,45,55,433
02M294,HIGH SCHOOL FOR HISTORY & COMMUNICATION,60.8,3.8,20.4,4.1,27.7,60.6,7.6,53.4,46.6,343
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,72.4,9.5,14.8,5.3,26.5,66.1,2.1,32.2,67.8,419
02M298,PACE HIGH SCHOOL,56.7,2.2,13.8,10.1,32.4,42,3.9,43.7,56.3,414
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,75.3,10.9,20,6,29.2,59.2,4.9,74.9,25.1,431
02M303,THE FACING HISTORY SCHOOL,75.6,20.8,21.7,0.7,23.5,73.2,2.4,50.6,49.4,451
02M305,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,68.3,6.1,17,3.8,41.7,50.6,3.5,43.9,56.1,312
02M308,LOWER MANHATTAN ARTS ACADEMY,62.2,3.9,24.7,9.5,30.7,55.7,3.6,39.9,60.1,336
02M313,THE JAMES BALDWIN SCHOOL: A SCHOOL FOR EXPEDITIO,51,4.8,12.9,4,34.3,54.4,6.5,52.4,47.6,248
02M316,THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG,74.9,2.6,15.6,3.4,46.8,48.4,1.3,0,100,378
02M374,GRAMERCY ARTS HIGH SCHOOL,59,3,12.3,2.8,45.3,45.1,6.7,26.3,73.7,495
02M376,NYCISCHOOL,34.6,0.5,10.9,11.5,20.6,43,24,48.7,51.3,433
02M392,MANHATTAN BUSINESS ACADEMY,64,9.9,13.9,6.6,29.5,58.7,4.8,59,41,332
02M393,THE BUSINESS OF SPORTS SCHOOL,58.7,7.6,21.4,1.6,35.5,57.2,4.3,72.4,27.6,304
02M394,EMMA LAZARUS HIGH SCHOOL,97,82.8,0,62.4,7.2,26.4,4,51.2,48.8,250
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,80.8,28.3,16.8,44.3,15.6,32.8,5.3,48,52,244
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,56.4,7.1,14.4,16.7,14.8,57.2,11.1,50.4,49.6,1394
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,17.9,0.4,8.8,6.3,10.2,17.6,54.6,55.2,44.8,489
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,23.5,2,3.2,7,19.1,23.7,41.8,25.3,74.7,502
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,54.6,1.6,2.3,60.6,5.8,14.6,18.8,44,56,432
02M412,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,21.6,1.6,15,29.4,8.5,14,45.9,47,53,579
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,31,2.1,14.6,16,12.3,26,38,50.8,49.2,673
02M414,NYC MUSEUM SCHOOL,51.6,0.5,9.4,33,11.7,39.9,15.4,42.4,57.6,436
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,15.8,0.2,1.2,17.2,5.5,11.6,63.7,32.5,67.5,507
02M418,MILLENNIUM HIGH SCHOOL,32.7,0.2,9.1,30,8.8,21.7,35.9,38.2,61.8,626
02M419,LANDMARK HIGH SCHOOL,83.1,15.7,18.8,5.2,18.1,74.8,1.9,48.5,51.5,421
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SER,68,4,10.9,20.5,24.4,49.7,5.3,29.4,70.6,1768
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,74.2,5.4,18.6,8.1,30.5,54.2,6.6,46.1,53.9,607
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,97.5,86.9,6.9,6.3,8,84.6,1.1,54.9,45.1,175
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,93.9,8.2,22.4,1.4,45.2,51.4,1.7,49,51,294
02M432,MURRAY HILL ACADEMY,78,7.5,27.1,7.9,41.1,45.3,4.2,53.7,46.3,214
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,61.5,8.8,16.4,5.8,23.5,62.4,6.6,60.6,39.4,226
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,82.8,94.9,0.6,40.3,12.5,43.2,3.4,61.4,38.6,176
02M439,MANHATTAN VILLAGE ACADEMY,60.3,3.7,8.2,6.3,16.8,71.8,4.9,38.5,61.5,429
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,75.5,26,13.5,6.3,27.9,62.5,2.4,63.9,36.1,208
02M449,VANGUARD HIGH SCHOOL,69.5,6.1,17.3,9.9,25.7,59,4.5,46.2,53.8,444
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,80.7,77.5,0.3,33.5,14.8,36.9,14.5,44.3,55.7,325
02M460,WASHINGTON IRVING HIGH SCHOOL,66,18.6,17.2,4.8,34.3,58.2,2.3,47.5,52.5,1032
02M475,STUYVESANT HIGH SCHOOL,30.3,0,0.4,72.1,1.2,2.4,23.7,59.3,40.7,3297
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,60.8,6.3,11.9,24.8,22.5,43.5,8.8,54.5,45.5,809
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,83.5,15.6,32.9,3.8,35,55.3,2.5,62.4,37.6,237
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLO,60,8.7,19.8,7.1,40.5,46.8,4.8,73.8,26.2,126
02M519,TALENT UNLIMITED HIGH SCHOOL,45.5,0.2,3.5,4.5,36,39.3,19.8,21.4,78.6,491
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,72.7,10.2,14.1,10.5,39.9,46.6,2.3,49.1,50.9,2073
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,73,9.8,13.7,5.1,22.7,69.9,1.8,40.6,59.4,724
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,65.3,0.5,5.1,1.4,47.9,42.4,7.4,21.2,78.8,217
02M542,MANHATTAN BRIDGES HIGH SCHOOL,83.5,72.6,1.7,0.2,0,99.8,0,51.4,48.6,541
02M543,NEW DESIGN HIGH SCHOOL,66.1,5.4,17.5,3.8,30.3,62.2,2.6,38.3,61.7,423
02M545,HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES,82.6,38.2,2.3,89.5,3.4,4,2.3,51.3,48.7,353
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,79.5,90.2,2,25.7,19.9,42.1,11.8,61,39,397
02M551,NEW YORK HARBOR SCHOOL,73.5,4.2,17.9,2.3,37.4,49.3,10.2,60.9,39.1,430
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,32.1,1.3,0,5.1,33.8,38.2,20.4,40.8,59.2,157
02M570,SATELLITE ACADEMY HIGH SCHOOL,72.8,6.5,14.1,1.6,35.1,59.7,2.8,38.7,61.3,248
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,67,6.4,21.8,2.3,35.1,59.3,2.3,32.6,67.4,610
02M586,HARVEY MILK HIGH SCHOOL,75.7,1.5,22.1,5.9,38.2,39.7,16.2,47.1,52.9,68
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,68.3,2.8,11.5,3.8,39.1,52.3,4.1,7.3,92.7,1599
02M605,HUMANITIES PREPARATORY ACADEMY,54,1,6.8,7.3,21.9,57.8,11.5,42.7,57.3,192
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHO,69.8,6.2,15.7,7.1,29.6,60.5,1.5,65,35,466
02M620,NORMAN THOMAS HIGH SCHOOL,81.1,19.3,15.5,1.6,25.6,70.6,2,52,48,1127
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,72.7,9.1,17.2,3.1,30.3,63.8,2.6,46.5,53.5,1433
02M630,ART AND DESIGN HIGH SCHOOL,53.3,1.6,11.1,9,26.8,51,12.6,46.7,53.3,1344
02M655,LIFE SCIENCES SECONDARY SCHOOL,70.3,7.9,19.7,3.3,28.6,64.3,2.4,51.6,48.4,717
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,59.6,8.6,10.5,1.7,46,49.4,2.2,31.8,68.2,409
03M299,HIGH SCHOOL FOR ARTS IMAGINATION AND INQUIRY,66.4,14.4,19.6,1,37.3,58.9,1.4,55.7,44.3,418
03M307,THE URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,68.8,12.8,15.3,2.2,37.4,56,3,57.9,42.1,366
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,73.2,25.1,21.6,1.8,19.8,76,1.8,56.9,43.1,283
03M403,THE GLOBAL LEARNING COLLABORATIVE,68.4,19.3,19.3,3.6,27.7,62.6,5.9,51.4,48.6,358
03M404,INNOVATION DIPLOMA PLUS,50.4,3.5,10.1,48.7,33.2,16.6,1.5,47.7,52.3,199
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & V,76.6,7.4,18.8,0.4,59.9,38.8,0.8,38.4,61.6,516
03M417,FRANK MCCOURT HIGH SCHOOL,24,0.9,17.4,6.8,18.3,37,37,46.6,53.4,219
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,68.6,27.8,10.7,2.1,29.6,67.4,1,50.5,49.5,291
03M479,BEACON HIGH SCHOOL,18.4,0.2,3.7,8.9,14.6,22.8,49.8,39,61,1162
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART,21.7,0.2,1,19.6,12.9,16.6,49.2,26.4,73.6,2605
03M492,HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTI,79.9,10.5,15.5,1.3,46.2,48.1,1.8,40.1,59.9,541
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,79.8,10.4,17.2,5,34.8,57.2,2.3,67.7,32.3,603
03M505,EDWARD A.REYNOLDS WEST SIDE HIGH  SCHOOL,70.5,7.8,23,0.5,34.6,64.4,0.5,44.3,55.7,564
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,55.2,1.3,3.8,25.6,21.4,41.5,10.2,41.1,58.9,453
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,64.2,5.8,20.8,0.7,77.7,18.9,1.5,54.2,45.8,413
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,71.8,9.7,24.4,0.9,39.3,58.7,0.9,44.4,55.6,349
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,71.6,2.7,5.8,20.1,19.7,57.4,2.2,46.4,53.6,1650
04M495,PARK EAST HIGH SCHOOL,76.8,4.3,10.6,4.9,33.2,59.6,0.3,42.1,57.9,349
04M555,CENTRAL PARK EAST SECONDARY HIGH SCHOOL,70.4,4,13.5,6.5,26.7,64.5,1.6,32.1,67.9,445
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,67.3,2.2,6.7,5.1,31.2,60.1,1.6,0,100,449
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH,62.7,13.5,18.8,4.2,27.6,65.6,2.1,62,38,192
04M680,THE HERITAGE SCHOOL,71.8,6.8,24.8,0.3,28.9,69.4,1,48.6,51.4,294
05M285,HARLEM RENAISSANCE HIGH SCHOOL,67.6,9.5,10.8,0.5,62.2,36.9,0.5,39.2,60.8,222
05M304,MOTT HALL HIGH SCHOOL,78.5,8.7,15.5,0.9,35,63.8,0.2,53.5,46.5,426
05M362,COLUMBIA SECONDARY SCHOOL,46.3,0.6,0.4,11.6,20,48.5,18.4,49.6,50.4,474
05M367,ACADEMY FOR SOCIAL ACTION,67,9.9,21.6,0.5,61.4,38.1,0,48.7,51.3,425
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,77.7,6.1,16.6,0.5,59.1,38.2,0.8,25.4,74.6,374
05M469,CHOIR ACADEMY OF HARLEM,81.9,2,13.3,0.3,76.1,22.5,0.6,39.8,60.2,347
05M499,FREDERICK DOUGLASS ACADEMY,57.6,2.4,8.9,1.2,74.4,22.8,1.3,52.2,47.8,1556
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIA,65.1,1.4,10,0.2,78.1,20.9,0.2,44.1,55.9,580
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,71.8,17.6,21,0.4,53.2,45.4,0.6,48.9,51.1,524
05M692,HIGH SCHOOL FOR MATHEMATICS SCI AND ENGINEERING,18.5,0,0,36.2,15,21.2,26.1,65.8,34.2,406
06M293,CITY COLLEGE ACADEMY OF THE ARTS,71.6,6.1,13.1,0.7,6,92,1.2,39.6,60.4,586
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,78.8,30,17.3,0.2,5.2,93.8,0.8,52.3,47.7,520
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,87.5,19.6,18.1,0,2.3,96.7,0.3,55.8,44.2,602
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,99.2,19.7,34.3,0,25.8,72.5,0,52.8,47.2,178
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINAN,89.3,43,13.7,0.5,5.2,91.4,1.4,63.8,36.2,630
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,83.8,26.9,17,1,10.7,87.1,0.5,63.5,36.5,572
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,72.5,32,16.7,1,13,84.4,1.3,58.6,41.4,694
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,90.7,31.2,13.8,0.7,13.7,83.8,1,52.7,47.3,679
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,76.3,2.3,5.5,4,32.8,62.3,0.7,49.9,50.1,1285
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MAT,92.8,89.6,0,0,0,99.8,0,48.9,51.1,472
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,72.9,8.8,19.3,0.6,29.9,68.8,0.5,47.4,52.6,622
07X321,CROTONA ACADEMY HIGH SCHOOL,78.3,2.4,6.5,0.8,42.7,54,0.8,31.5,68.5,124
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,77.5,90.1,1.8,4.8,20.1,71.8,2,48.6,51.4,393
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,71.7,3,7.6,0.5,40.9,56.6,1,36.9,63.1,198
07X381,BRONX HAVEN HIGH SCHOOL,64.7,7.8,8.5,0.7,35.9,62.7,0.7,37.3,62.7,153
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,82.7,13.2,19.7,0.6,32.3,65.5,0.9,49.2,50.8,319
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,78.5,9.6,18.5,1.1,22.6,76,0,50.1,49.9,363
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COM,90.1,3.7,5.2,2.6,18.1,78.1,1.3,43.2,56.8,465
07X500,HOSTOSLINCOLN ACADEMY OF SCIENCE,68.3,5.6,11.9,2,24,72.7,0.7,45.2,54.8,538
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,89.9,21.9,22.5,3.2,26,68.8,1,45.3,54.7,311
07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY,60,20.3,19.6,2.2,29.7,67.4,0,84.8,15.2,138
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,77,14.1,18.5,1.4,41.2,56,1,54,46,502
07X547,NEW EXPLORERS HIGH SCHOOL,90.4,15.7,25.1,0.5,30.3,68.1,0.5,57.7,42.3,383
07X548,ACADEMY FOR CAREERS IN SPORTS,74.3,5,18.7,0.4,26.6,70.4,0.4,84.3,15.7,477
07X551,BRONX ACADEMY OF LETTERS,79.1,9.4,24,0.5,34.1,64.3,0.9,44.5,55.5,555
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION H,76.7,9.1,22,1.4,35.9,61.5,0.7,92.7,7.3,738
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HI,75.7,17,26.1,1.2,32.4,64.9,0.8,79.6,20.4,663
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,77.8,10.4,19.6,3.1,39.2,56.9,0.5,28.6,71.4,587
08X269,BRONX STUDIO SCHOOL,85.6,9.2,13.4,1.2,22.4,74.8,1,44,56,500
08X282,YOUNG WOMEN'S LEADERSHIP SCHOOL BRONX,72.2,2.6,15.6,2.9,45.9,46.4,2.4,0.3,99.7,379
08X293,RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER & TEC,66.4,4.5,21.7,2.6,25.4,63.8,7.7,38,62,469
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TE,74.6,11.5,24.1,5.6,33.1,59.4,1,60,40,478
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD,75.8,15.9,27.3,2.5,26.2,69.9,1.4,66,34,359
08X312,MILLENNIUM ART ACADEMY,74.2,5.4,20.4,1.8,32.5,64.3,1,49.2,50.8,496
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,79.6,12.6,18,0.9,39.9,56.8,0.6,49.2,50.8,333
08X367,ARCHIMEDES ACADEMY FOR MATH SCIENCE AND TECH,87.3,2.6,22,2.8,35,60.2,2,62,38,500
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY,81.3,7.4,24.1,4.9,27.8,66,0.7,47,53,432
08X377,BRONX COMMUNITY HIGH SCHOOL,73.9,4.5,5,1,33,63.5,1,50.5,49.5,200
08X405,HERBERT LEHMAN HIGH SCHOOL,66.8,9.2,20.9,6.8,23,60.6,9,61.1,38.9,3593
08X432,BRONX BRIDGES HIGH SCHOOL,87.2,79.4,7.7,5.2,8.4,83.2,2.6,52.3,47.7,155
08X452,BRONX GUILD: A NEW YORK CITY OUTWARD BOUND SCHOO,69.2,7.2,23,3.9,33.8,61.3,0.7,49.5,50.5,305
08X519,THE FELISA RINCON DE GAUTIER INSTITUTE FOR LAW A,72.3,14,20.9,1.4,21.8,76,0.6,43,57,363
08X530,BANANA KELLY HIGH SCHOOL,81.9,13.5,25.7,0.7,32.6,65.4,1.1,49.9,50.1,451
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,83.8,11,28.3,4.7,28.8,64.9,1,57.1,42.9,191
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,85.7,11.2,22.2,1.5,36.8,60.8,0.3,28.3,71.7,717
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,83.9,29.3,21.1,1.1,27.9,69.3,0.8,50.1,49.9,355
